Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,Tourism Status,lables_1
Cameroon,0.03423076923076923,65.83307692307693,15356.0,82.41538461538462,11608.846153846154,26896390447.153847,0.05554615384615384,221.8230769230769,426.6307692307692,0.061230769230769234,0.06153846153846154,0.19416923076923076,60.92307692307692,57.84615384615385,0.3076923076923077,0.3976923076923077,0.5606153846153846,0.04123076923076923,14990503.538461538,0.47100000000000003,927093076.9230769,707230769.2307693,3424.5159330939323,0.0011583980212501975,0.0013237651194065885,59.38461538461539,Inbound,1
Canada,0.026,48.18416666666667,503104.5,37.525,205690.15,1230811315013.1667,0.06368333333333333,1224.6416666666667,344.06666666666666,0.03307575,0.1416666666666667,0.14440833333333333,70.45833333333333,66.3,0.4583333333333333,0.342037084335137,0.601087171027597,0.05695907797059923,35840881.583333336,0.5515833333333333,12932250000.0,9528233333.333334,14279.19530905553,0.005459449591064636,0.0038397951849913087,68.37916666666666,Inbound,2
Cayman Islands,0.02575,67.825,45811.65,48.666666666666664,20079.066666666666,87119864246.125,0.06288333333333333,419.23333333333335,249.75,0.03724499999999999,0.13999999999999999,0.12599166666666664,70.0,64.58333333333333,0.44166666666666665,0.34099999999999997,0.5998333333333333,0.05908333333333333,16051385.083333334,0.5939166666666666,1392216666.6666667,922133333.3333334,5154.914237743549,0.0020875895491218447,0.0018434567497353212,67.29166666666667,Inbound,1
Central African Republic,0.036,61.53076923076924,44982.846153846156,35.38461538461539,20431.0,34352030014.384617,0.051153846153846154,115.53846153846153,355.0769230769231,0.05923076923076923,0.07692307692307693,0.19913846153846154,58.76923076923077,55.76923076923077,0.34615384615384615,0.40015384615384614,0.5626153846153846,0.03707692307692308,15975660.23076923,0.3994615384615384,1224200000.0,849923076.9230769,2095.240933118813,0.0012817575445972268,0.0022094858557621423,57.26923076923077,Inbound,1
Chad,0.033923076923076924,44.93846153846154,17547.707692307693,50.69230769230769,18506.153846153848,30830704224.23077,0.05470769230769231,99.36153846153846,387.84615384615387,0.06453846153846153,0.07692307692307693,0.5364692307692308,57.15384615384615,54.84615384615385,0.29230769230769227,0.3974615384615384,0.5651538461538462,0.037307692307692306,32745496.230769232,0.3346153846153846,707200000.0,783123076.9230769,1545.9718205101574,0.000918272343017854,0.0009852369082333453,56.0,Outbound,1
Chile,0.025916666666666668,75.68833333333333,38611.799999999996,108.72500000000001,19777.083333333332,61887961460.25,0.056541666666666664,176.9333333333333,340.075,0.03740083333333333,0.11666666666666665,0.19489166666666666,69.25,64.25,0.4166666666666667,0.3519075020036075,0.5993410087218608,0.04850148927453179,21742314.833333332,0.618,1465050000.0,799641666.6666666,5851.396129007763,0.016051024554324535,0.002367782888178523,66.75,Inbound,1
China,0.01553846153846154,43.98153846153846,356869.06923076924,48.91538461538461,133388.61538461538,209206270305.53845,0.055053846153846155,846.9000000000001,359.70000000000005,0.019022307692307686,0.35923076923076924,0.09908461538461538,75.85384615384615,70.3,0.5769230769230769,0.25729923261871457,0.657699392666333,0.08492445163802934,125232640.23076923,0.550076923076923,4685215384.615385,3583700000.0,11360.595288703702,0.012721097039386155,0.00558203495767863,73.07692307692308,Inbound,2
Colombia,0.024666666666666667,57.15,6898.400000000001,61.25,5307.150000000001,10737395076.541666,0.056633333333333334,544.8166666666667,327.8333333333333,0.033120000000000004,0.125,0.14707499999999998,68.16666666666667,63.666666666666664,0.5416666666666666,0.336037084335137,0.6099205043609304,0.05404241130393256,2957151.8333333335,0.50175,659933333.3333334,230241666.66666666,8624.81569128527,0.0039386975247461846,0.004339447117149769,65.91666666666667,Inbound,1
Comoros,0.03638461538461538,72.5153846153846,4564.2307692307695,37.84615384615385,13409.746153846154,11356524917.076923,0.06969230769230769,59.53846153846154,222.46153846153845,0.07315384615384615,0.07692307692307693,0.15683076923076922,57.92307692307692,56.15384615384615,0.25384615384615383,0.4126153846153846,0.553923076923077,0.033615384615384616,15987542.23076923,0.36846153846153845,373592307.6923077,174530769.23076922,939.0756143549991,0.0012901363249550487,0.0003990955792401559,57.03846153846154,Inbound,1
"Congo, Dem. Rep.",0.032769230769230766,62.853846153846156,15562.692307692309,86.23846153846154,10951.530769230769,24045306590.207695,0.05565384615384615,237.7923076923077,385.9153846153846,0.05630769230769231,0.0923076923076923,0.1847076923076923,62.76923076923077,59.46153846153846,0.3307692307692308,0.385,0.572923076923077,0.041923076923076924,13488177.153846154,0.49076923076923074,834824615.3846154,554207692.3076923,5866.125836252495,0.0018310628399666527,0.003034409122466648,61.11538461538461,Inbound,1
